ref,subject,description,sprint,sprint_estimated_start,sprint_estimated_finish,owner,owner_full_name,assigned_to,assigned_to_full_name,assigned_users,assigned_users_full_name,status,is_closed,dev-points,total-points,backlog_order,sprint_order,kanban_order,created_date,modified_date,finish_date,client_requirement,team_requirement,attachments,generated_from_issue,external_reference,tasks,tags,watchers,voters,due_date,due_date_reason
114,Start engine participant and log in to a server,"As an engine participant, I want to start and log in to a server so that I can participate in games.",7. Sprint,2019-01-01,2019-01-07,lgehring,Lukas Gehring,,,,,Done,True,30.0,30.0,33,0,1541842298275,2018-11-10 09:31:38.278994+00:00,2019-01-08 11:27:22.596383+00:00,2019-01-08 11:27:19.920802+00:00,False,False,0,,,"115,116",,[],0,,
117,Analyse board as engine participant,"As an engine participant, I want to analyse the field so that I can compute my next move.",5. Sprint,2018-12-18,2018-12-24,lgehring,Lukas Gehring,,,,,Done,True,120.0,120.0,41,6,1541842966295,2018-11-10 09:42:46.296571+00:00,2018-12-29 10:36:06.987807+00:00,2018-12-29 10:35:59.445747+00:00,False,False,0,,,"118,146,153",,[],0,,
141,User interface for observer,"As an observer, I want a user interface so that I can use the client intuitively.",2. Sprint,2018-11-27,2018-12-03,lgehring,Lukas Gehring,,,,,Done,True,30.0,30.0,36,1,1541864812809,2018-11-10 15:46:52.805809+00:00,2019-01-23 16:10:21.995969+00:00,2018-12-11 08:04:54.023809+00:00,False,False,0,,,"142,143,144,150",,[],0,,
148,Communication server with client,"As a game host, I want to communicate with all clients",1. Sprint,2018-11-20,2018-11-26,lgehring,Lukas Gehring,,,,,Done,True,30.0,30.0,52,36,1542535628818,2018-11-18 10:07:08.818431+00:00,2018-11-27 10:00:31.362119+00:00,2018-11-27 09:56:32.332861+00:00,False,False,0,,,149,,[],0,,
154,Show result of a game,"As an observer, I want to receive a notification at the end of a game so that I can see the winner list.",9. Sprint,2019-01-15,2019-01-21,lgehring,Lukas Gehring,,,,,Done,True,20.0,20.0,1544727485716,4,1544727485713,2018-12-13 18:58:05.721854+00:00,2019-01-25 12:54:08.119836+00:00,2019-01-25 12:54:08.140514+00:00,False,False,0,,,,,[],0,,
155,Analyse android observer,"As a developer, I want to analyse the client I have bought so that I can develop it",8. Sprint,2019-01-08,2019-01-14,lgehring,Lukas Gehring,,,,,Done,True,20.0,20.0,1544728042598,9,1544728042602,2018-12-13 19:07:22.605771+00:00,2019-01-15 11:10:27.860098+00:00,2019-01-15 11:10:56.478702+00:00,False,False,0,,,164,,[],0,,
157,List List of available games,"As a Player, I want to see a list of all available games so that I have a structural overview of the games.",9. Sprint,2019-01-15,2019-01-21,lgehring,Lukas Gehring,waizy,Mohness Waizy,waizy,Mohness Waizy,Done,True,15.0,15.0,5,3,1545471306295,2018-12-22 09:35:06.299693+00:00,2019-01-15 16:58:47.321828+00:00,2019-01-16 19:05:46.969042+00:00,False,False,0,,,161,,[],0,,
158,Zoomable board,"As a Player, I want to zoom the board in and out",8. Sprint,2019-01-08,2019-01-14,lgehring,Lukas Gehring,denniss2,Dennis Suermann,denniss2,Dennis Suermann,Done,True,30.0,30.0,6,6,1545471428433,2018-12-22 09:37:08.437405+00:00,2019-01-15 11:49:53.317773+00:00,2019-01-15 11:49:51.066635+00:00,False,False,0,,,,,[],0,,
159,View configuration,"As a Player, I want to see the configuration of a game",8. Sprint,2019-01-08,2019-01-14,lgehring,Lukas Gehring,waizy,Mohness Waizy,waizy,Mohness Waizy,New,True,10.0,10.0,1545471492730,13,1545471492729,2018-12-22 09:38:12.738471+00:00,2019-01-08 11:28:35.273392+00:00,2019-01-15 11:45:13.243041+00:00,False,False,0,,,160,,[],0,,
327,Show total time of a game,"As an Observer, I want to see the total time of a game",3. Sprint,2018-12-04,2018-12-10,lgehring,Lukas Gehring,artemb,Artem Burchanow,,,New,True,,,1548420707272,3,1548420707272,2019-01-25 12:51:47.283608+00:00,2019-01-25 12:52:17.665140+00:00,2019-01-25 12:53:03.585289+00:00,False,False,0,,,328,,[],0,,
